File Name,Display Name,Height,Width,Price
429R_1066296a201_HOL14_Cheese_Cling_FINAL_ToPrintOL_GRACoL,No question is too cheesey (Min 10),10.11,3.91,$7.50
430R_1066296a202_HOL14_GameBirds_Cling_FINAL_ToPrintOL_GRACoL,Duck Duck (Min 10),8,8,$8.50
431R_1066296A104_8X8HOL14_OrderYourTurkey,Order Your Turkey (Min 10),5,8,$8.50
1066296a103_48x240_ReserveYourBirdFloorCling,Reserve Your Turkey,48,24,$104.25
1066296a101_18x18_HolidayOrderingTable_FloorCling,Holiday Ordering Table,18,18,$65.00
1066296a102_20x20_HolidayOrderingTable_FloorCling,Holiday Ordering Table 2,20,20,$73.75
